gene_symbol,log2_fold_change,nominal_p,adjusted_p
PDE4A,-0.4533316621535128,2.061990207763102e-6,5.03802556554875e-4
ARHGEF2,-0.37142248911116127,2.2086844100515586e-6,5.313790044458525e-4
ZFP36L1,0.8806643480642347,2.254909745598201e-6,5.318989844821937e-4
YAP1,0.8057789470323975,2.278108919896831e-6,5.318989844821937e-4
MT1L,1.4761522075332705,2.287081773608401e-6,5.318989844821937e-4
C1QTNF4,-0.5506141276795775,2.338306262603033e-6,5.37836136071913e-4
XKRX,0.8058679686635164,2.371907571933667e-6,5.39634754218952e-4
NWD1,0.9835603362609682,2.4485366783908644e-6,5.476454418792374e-4
CDC42BPG,1.4034003989866417,2.4822586174852652e-6,5.476454418792374e-4
SLX4,-0.3373383194661361,2.636701718130595e-6,5.748833714811613e-4
SNORD10,1.3620214780142246,2.7050904121871076e-6,5.812739701822176e-4
COL26A1,-0.771735112733908,2.7424615401470164e-6,5.812739701822176e-4
PLN,2.503822699487936,2.760216395185721e-6,5.812739701822176e-4
LINC01088,1.537083147472163,2.7770960306828037e-6,5.812739701822176e-4
PPP2R1B,0.4868307774046583,2.820169523097138e-6,5.844452305737247e-4
TGIF1,0.8173471928216847,2.8865909543539256e-6,5.917003828471421e-4
ITGB8,0.6399452267583765,2.919997936466351e-6,5.917003828471421e-4
TUBG2,-0.4035324590031859,2.9434369870264356e-6,5.917003828471421e-4
N4BP3,-0.5173510904190861,2.968254751275616e-6,5.917003828471421e-4
PACSIN1,-0.5660448433913583,3.025675841011293e-6,5.974568021528998e-4
DSE,0.5565917849455264,3.0868673473212596e-06,6.038431817456195e-4
KCNH3,-0.5922362315367131,3.145360867408008e-6,6.095884103307131e-4
PKP3,-1.111158582705048,3.2098155705761473e-6,6.163729330984343e-4
KCNK4-TEX40,-0.7159292769811284,3.245122363852057e-6,6.174877836162492e-4
LINC01844,-1.5480410104390492,3.2747013509702536e-6,6.175024682626881e-4
ITGA10,0.9117479129041808,3.35059047147355e-6,6.186926248743345e-4
CAPN2,0.5722222059239641,3.36630119386638e-6,6.186926248743345e-4
PRKX,0.7165555831861603,3.4028515301052724e-6,6.186926248743345e-4
LPIN1,0.2909633918495089,3.4277587589133016e-6,6.186926248743345e-4
SIX5,0.7305554818090636,3.4429686588119865e-6,6.186926248743345e-4
GCNT4,-0.7561994474122198,3.472918300397866e-6,6.186926248743345e-4
CEP83,-0.3266209684179877,3.487923641258013e-6,6.186926248743345e-4
C1QTNF5,0.845327408010319,3.5188832813110433e-6,6.189390416900961e-4
SRPX2,1.2823551016481245,3.5852448319903582e-6,6.201238190725551e-4
SCARNA13,0.8309124332405631,3.590685397015037e-6,6.201238190725551e-4
C1ORF159,-0.35456765927654743,3.6653009586148e-6,6.201238190725551e-4
FNDC4,-0.4039706039934243,3.793194277913946e-6,6.201238190725551e-4
SNORA48,1.136984406941996,3.79774647824642e-6,6.201238190725551e-4
POLD1,0.4428841144210738,3.807634390798887e-6,6.201238190725551e-4
LARP1B,-0.25068155147281157,3.812742987262884e-6,6.201238190725551e-4
FXYD7,-0.6603654079053021,3.820936984167209e-6,6.201238190725551e-4
PPEF1,-1.040820944374197,3.8218896689293205e-6,6.201238190725551e-4
H2BC21,0.6567165787827296,4.058662975886301e-6,6.497251164386842e-4
CSRP1,0.7302326853261647,4.066408210475736e-6,6.497251164386842e-4
HEBP1,0.32597642977528096,4.1636031404266075e-6,6.59846797896938e-4
RHOBTB2,-0.42434115780957615,4.192806082857616e-6,6.59846797896938e-4
OLAH,1.8612509346860209,4.2374680612836075e-6,6.618988357516955e-4
SOWAHB,-0.8971348569204731,4.3701911390321435e-6,6.775738572672726e-4
MRPL30,-0.28232131663161075,4.450631226061306e-6,6.802599468824647e-4
CFAP47,1.3292452529641492,4.452516015617872e-6,6.802599468824647e-4
MAP3K13,-0.3560430815414799,4.503398229570461e-6,6.811739676176478e-4
MPPED2,-0.40363747575556674,4.531913779877425e-6,6.811739676176478e-4
EPHA3,-0.4865671188134794,4.556129925300783e-6,6.811739676176478e-4
LIMD2,-0.4316394281764939,4.6447961168321615e-6,6.813078471244776e-4
PRRT2,-0.4514511041547413,4.645644786841868e-6,6.813078471244776e-4
LINC02280,-0.9852192912550588,5.035611973449629e-6,7.274973112534592e-4
