module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour
FTLD3_black,MYC,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NDFIP1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NDUFS4,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NDUFS8,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NEO1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NFU1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NR1D1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NUBP1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,NUBPL,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,PGRMC2,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,PHYH,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,PPOX,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,PRNP,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,PXDN,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SCD,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SLC25A37,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SLC25A39,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SLC30A1,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SLC39A1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SLC46A1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,SLC48A1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
