module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour,occurrences,recurrence_label
FTLD3_turquoise,MCOLN1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,MECR,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
MSA_violet,MECR,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,2,2/9
FTLD1_red,NDUFAB1,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,2,2/9
FTLD3_turquoise,NDUFAB1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
AD_ERC_darkred,NDUFS2,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,2,2/9
PSP_pink,NDUFS2,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,2,2/9
FTLD3_turquoise,NDUFS3,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
PSP_pink,NDUFS3,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,2,2/9
FTLD1_red,NDUFS7,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,2,2/9
FTLD3_turquoise,NDUFS7,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
AD_ERC_darkred,NOX4,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,2,2/9
PSP_pink,NOX4,FALSE,TRUE,FALSE,9,Progressive supranuclear palsy,PSP,pink,2,2/9
FTLD3_black,NR1D1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,NR1D1,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,PGRMC2,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,PGRMC2,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_turquoise,PICALM,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
MSA_violet,PICALM,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,2,2/9
FTLD3_black,PPOX,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,PPOX,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,SLC25A39,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,SLC25A39,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
AD_ERC_darkred,SLC39A14,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,2,2/9
FTLD3_turquoise,SLC39A14,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_turquoise,SLC39A8,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
PSP_pink,SLC39A8,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,2,2/9
AD_HIPPO_yellow,SLC48A1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,2,2/9
FTLD3_black,SLC48A1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_black,SMAD1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,SMAD1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
AD_ERC_darkred,STEAP4,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,2,2/9
FTLD1_red,STEAP4,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red,2,2/9
AD_ERC_darkred,TBXAS1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,2,2/9
FTLD3_black,TBXAS1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_black,TET1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
MSA_violet,TET1,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,2,2/9
AD_HIPPO_yellow,TFAP2A,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,2,2/9
FTLD3_turquoise,TFAP2A,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
