Module,Gene symbol,Copper-set member,Broad-iron-set member,Core-iron-set member,Contributed to module enrichment,Matched in FTLDexp,Log2 fold change,Nominal P,FDR-adjusted P,Significantly differentially expressed,Direction
FTLD3 black,DOHH,FALSE,TRUE,TRUE,TRUE,TRUE,-0.14050454854845107,0.17657210937057627,0.32907406475251816,FALSE,NA
FTLD3 black,CYP51A1,FALSE,TRUE,FALSE,TRUE,TRUE,-0.10628778668637384,0.2104278406886804,0.3704138430789088,FALSE,NA
FTLD3 black,NDUFS8,FALSE,TRUE,TRUE,TRUE,TRUE,-0.09168554739862332,0.2103664507650715,0.3704138430789088,FALSE,NA
FTLD3 black,ALKBH3,FALSE,TRUE,TRUE,TRUE,TRUE,-0.1083465906486336,0.21196300025990247,0.3722295977371421,FALSE,NA
FTLD3 black,ABCC5,FALSE,TRUE,TRUE,TRUE,TRUE,-0.10656571511769997,0.24992925966084356,0.41488376032683927,FALSE,NA
FTLD3 black,STC2,FALSE,TRUE,FALSE,TRUE,TRUE,0.2819059901672678,0.27193074017449587,0.4387744621178209,FALSE,NA
FTLD3 black,FTH1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.08593790582394156,0.3201818631530386,0.4886421128440577,FALSE,NA
FTLD3 black,DUOX1,FALSE,TRUE,FALSE,TRUE,TRUE,-0.23523724637879265,0.36375218614225857,0.5328871039564921,FALSE,NA
FTLD3 black,PRNP,TRUE,FALSE,FALSE,FALSE,TRUE,-0.06567502498258904,0.370512265252395,0.5396417941686646,FALSE,NA
FTLD3 black,PPOX,FALSE,TRUE,FALSE,TRUE,TRUE,0.05652221188655471,0.38254592199180415,0.5514510119290945,FALSE,NA
FTLD3 black,ACO1,FALSE,TRUE,TRUE,TRUE,TRUE,0.05553880163961988,0.38581924994566286,0.554679766509559,FALSE,NA
FTLD3 black,NDUFS4,FALSE,TRUE,TRUE,TRUE,TRUE,-0.07449716732627554,0.39116193592209625,0.5597463923419291,FALSE,NA
FTLD3 black,ATP6V0A2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04191586246853873,0.399113739606482,0.5667084786448188,FALSE,NA
FTLD3 black,ATP6V1G1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.05742524620763234,0.4095239105117416,0.5754780108037102,FALSE,NA
FTLD3 black,CYB5B,FALSE,TRUE,FALSE,TRUE,TRUE,-0.051805725957764,0.42356233563618523,0.5887902376327141,FALSE,NA
FTLD3 black,HMBS,FALSE,TRUE,FALSE,TRUE,TRUE,-0.06428486743759398,0.42756594934916126,0.5925566368156853,FALSE,NA
FTLD3 black,IREB2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04703666677115858,0.45156549720145145,0.6137657170877568,FALSE,NA
FTLD3 black,PGRMC2,FALSE,TRUE,FALSE,TRUE,TRUE,0.04781863312079615,0.4633858055471607,0.6241395299811854,FALSE,NA
FTLD3 black,NUBPL,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04300716478861988,0.4762781923313284,0.635331007818943,FALSE,NA
FTLD3 black,SLC46A1,FALSE,TRUE,TRUE,TRUE,TRUE,0.05331096829347981,0.5120666590053579,0.6663236167210013,FALSE,NA
FTLD3 black,TET1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04510730250082417,0.5377947322588661,0.6875507904294116,FALSE,NA
FTLD3 black,ATP7B,TRUE,FALSE,FALSE,FALSE,TRUE,0.05155591988986074,0.5407580574515019,0.6904115469389646,FALSE,NA
FTLD3 black,PHYH,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04780238443514628,0.5570165347999183,0.702979384377274,FALSE,NA
FTLD3 black,SLC48A1,FALSE,TRUE,TRUE,TRUE,TRUE,0.04628938425103257,0.6076198247349578,0.7417958910193877,FALSE,NA
FTLD3 black,ANKRD9,TRUE,FALSE,FALSE,FALSE,TRUE,0.05139513604624302,0.6101570722359991,0.7439821553636082,FALSE,NA
FTLD3 black,HIF1A,FALSE,TRUE,TRUE,TRUE,TRUE,0.03612082404941041,0.621177286126348,0.7527710615974172,FALSE,NA
FTLD3 black,GLRX5,FALSE,TRUE,TRUE,TRUE,TRUE,-0.03679661946136603,0.6364924266154637,0.765113453531632,FALSE,NA
FTLD3 black,FBXL5,FALSE,TRUE,TRUE,TRUE,TRUE,-0.02383760515532174,0.6446563507782264,0.7710898953162498,FALSE,NA
FTLD3 black,NFU1,FALSE,TRUE,TRUE,TRUE,TRUE,0.02483658776990616,0.759424494605194,0.8539309918177329,FALSE,NA
FTLD3 black,NR1D1,FALSE,TRUE,FALSE,TRUE,TRUE,-0.03127186382592129,0.7823553461617263,0.8690945627062463,FALSE,NA
FTLD3 black,CPOX,FALSE,TRUE,FALSE,TRUE,TRUE,0.02798358753138607,0.7974460572139717,0.8785898734835509,FALSE,NA
FTLD3 black,FXN,FALSE,TRUE,TRUE,TRUE,TRUE,-0.01316662942746171,0.8402012332720721,0.9060874858889042,FALSE,NA
FTLD3 black,BMP2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.02157154461879606,0.8511837136083102,0.9129844023793592,FALSE,NA
FTLD3 black,SCD,FALSE,TRUE,TRUE,TRUE,TRUE,0.01319311866782158,0.9335992654311268,0.9625716085285904,FALSE,NA
FTLD3 black,HEPHL1,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,NA
FTLD3 turquoise,TFAP2A,FALSE,TRUE,TRUE,TRUE,TRUE,0.9207989753984048,0.00140887493910968,0.01458963556355081,TRUE,Upregulated
FTLD3 turquoise,LMTK2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,TRUE,Downregulated
FTLD3 turquoise,ADO,FALSE,TRUE,TRUE,TRUE,TRUE,-0.22241258993707724,0.00171686206226262,0.01626783151888594,TRUE,Downregulated
FTLD3 turquoise,COX10,FALSE,TRUE,FALSE,TRUE,TRUE,-0.198753890915206,0.00196472206679345,0.0177007978964253,TRUE,Downregulated
FTLD3 turquoise,BMP6,FALSE,TRUE,TRUE,TRUE,TRUE,0.9236394400893628,0.00213022331584817,0.01864034457525845,TRUE,Upregulated
FTLD3 turquoise,SLC39A1,FALSE,TRUE,TRUE,TRUE,TRUE,0.3151369924792249,0.00327093876316641,0.02442106686532103,TRUE,Upregulated
FTLD3 turquoise,MT3,TRUE,FALSE,FALSE,FALSE,TRUE,0.3627068003010052,0.00409787324658787,0.02810373031596684,TRUE,Upregulated
FTLD3 turquoise,ARF1,TRUE,FALSE,FALSE,FALSE,TRUE,-0.16787398177596025,0.0051900237958824,0.0325636654890931,TRUE,Downregulated
FTLD3 turquoise,CAT,FALSE,TRUE,FALSE,TRUE,TRUE,0.3563467745811808,0.00539947594239614,0.03330870349257107,TRUE,Upregulated
FTLD3 turquoise,SNCA,TRUE,TRUE,TRUE,TRUE,TRUE,-0.4139041712636802,0.00720242895508215,0.03992426918930737,TRUE,Downregulated
FTLD3 turquoise,SLC25A39,FALSE,TRUE,TRUE,TRUE,TRUE,0.17397510056020327,0.00833605625782593,0.04370138114505591,TRUE,Upregulated
FTLD3 turquoise,FECH,FALSE,TRUE,FALSE,TRUE,TRUE,-0.1834657484541169,0.00850204742838882,0.04419240555271782,TRUE,Downregulated
FTLD3 turquoise,NUBP1,FALSE,TRUE,TRUE,TRUE,TRUE,0.22068094620726345,0.00887664717802385,0.04535647856219852,TRUE,Upregulated
FTLD3 turquoise,SMAD1,FALSE,TRUE,TRUE,TRUE,TRUE,0.20668304273710936,0.00990443821387986,0.04842555390206013,TRUE,Upregulated
FTLD3 turquoise,ACO2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.1737808495751363,0.01031857866535192,0.04957494167085784,TRUE,Downregulated
FTLD3 turquoise,SLC40A1,FALSE,TRUE,TRUE,TRUE,TRUE,0.3700407493635054,0.01134191322901355,0.05276674500922045,FALSE,NA
FTLD3 turquoise,SLC30A1,TRUE,FALSE,FALSE,FALSE,TRUE,0.28603946751627074,0.01147556918815172,0.05318758606669703,FALSE,NA
FTLD3 turquoise,EIF2AK1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.11715938471919962,0.01227452035875672,0.0555858904433442,FALSE,NA
FTLD3 turquoise,ATP6V1A,FALSE,TRUE,TRUE,TRUE,TRUE,-0.3430034986327626,0.01465283269261652,0.06241319517483851,FALSE,NA
FTLD3 turquoise,CBS,FALSE,TRUE,FALSE,TRUE,TRUE,0.5019921179298557,0.02217718372328677,0.082434848608083,FALSE,NA
FTLD3 turquoise,CIAPIN1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.15861923871526074,0.02492735020145537,0.08879414007261102,FALSE,NA
FTLD3 turquoise,CLTC,FALSE,TRUE,TRUE,TRUE,TRUE,-0.199177743642144,0.025573696798469,0.09038213693432254,FALSE,NA
FTLD3 turquoise,BCL2,FALSE,TRUE,TRUE,TRUE,TRUE,0.20518680958001576,0.02586024622966186,0.09114005957788388,FALSE,NA
FTLD3 turquoise,MCOLN1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.1596125109756783,0.03217456732248423,0.10530270818046016,FALSE,NA
FTLD3 turquoise,EGLN1,FALSE,TRUE,TRUE,TRUE,TRUE,0.13868225888497765,0.03312745691851258,0.10745433509130813,FALSE,NA
FTLD3 turquoise,KCNH7,FALSE,TRUE,FALSE,TRUE,TRUE,-0.2800430168554042,0.03960817549238578,0.12092163378517018,FALSE,NA
FTLD3 turquoise,PXDN,FALSE,TRUE,FALSE,TRUE,TRUE,-0.2599559606032127,0.04111027850288121,0.12391790149263154,FALSE,NA
FTLD3 turquoise,MYC,FALSE,TRUE,TRUE,TRUE,TRUE,0.35567203024988014,0.04561841411181481,0.13283792790406174,FALSE,NA
FTLD3 turquoise,B2M,FALSE,TRUE,TRUE,TRUE,TRUE,0.2973248725564499,0.04756292514934547,0.13679117680781294,FALSE,NA
FTLD3 turquoise,KDM3A,FALSE,TRUE,TRUE,TRUE,TRUE,0.1532750761453361,0.05001396539995259,0.1415416860176322,FALSE,NA
FTLD3 turquoise,DNM2,FALSE,TRUE,TRUE,TRUE,TRUE,0.15645309555069709,0.06031143452995777,0.16018000712429212,FALSE,NA
FTLD3 turquoise,COX17,TRUE,FALSE,FALSE,FALSE,TRUE,0.17632981835768025,0.07743135988663435,0.1896905189357612,FALSE,NA
FTLD3 turquoise,DAXX,TRUE,FALSE,FALSE,FALSE,TRUE,0.1108460659972188,0.08610100606786794,0.20294962297434,FALSE,NA
FTLD3 turquoise,FTO,FALSE,TRUE,TRUE,TRUE,TRUE,-0.09233008523407182,0.0882104908150469,0.206238010770612,FALSE,NA
FTLD3 turquoise,ABCB6,FALSE,TRUE,TRUE,TRUE,TRUE,0.13203667376989792,0.09132344304816194,0.21128451270488313,FALSE,NA
FTLD3 turquoise,TP53,TRUE,FALSE,FALSE,FALSE,TRUE,0.24392569523074492,0.09351966629523516,0.2148222273074591,FALSE,NA
FTLD3 turquoise,PARK7,TRUE,FALSE,FALSE,FALSE,TRUE,0.10286233810547696,0.13391091673002575,0.27251029058400106,FALSE,NA
FTLD3 turquoise,DOHH,FALSE,TRUE,TRUE,TRUE,TRUE,-0.14050454854845107,0.17657210937057627,0.32907406475251816,FALSE,NA
FTLD3 turquoise,ISCU,FALSE,TRUE,TRUE,TRUE,TRUE,-0.09633225780953224,0.17721602250290378,0.3298886027466472,FALSE,NA
FTLD3 turquoise,CUTC,TRUE,FALSE,FALSE,FALSE,TRUE,0.11416757238547826,0.18293318131545316,0.3372060253732937,FALSE,NA
FTLD3 turquoise,CYP51A1,FALSE,TRUE,FALSE,TRUE,TRUE,-0.10628778668637384,0.2104278406886804,0.3704138430789088,FALSE,NA
FTLD3 turquoise,NDUFS8,FALSE,TRUE,TRUE,TRUE,TRUE,-0.09168554739862332,0.2103664507650715,0.3704138430789088,FALSE,NA
FTLD3 turquoise,HMOX2,FALSE,TRUE,FALSE,TRUE,TRUE,-0.11001586923346451,0.22387608325920225,0.3857066671082691,FALSE,NA
FTLD3 turquoise,PICALM,FALSE,TRUE,TRUE,TRUE,TRUE,0.0697277676784065,0.3043791407023151,0.47279036150658377,FALSE,NA
FTLD3 turquoise,FTH1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.08593790582394156,0.3201818631530386,0.4886421128440577,FALSE,NA
FTLD3 turquoise,DUOX1,FALSE,TRUE,FALSE,TRUE,TRUE,-0.23523724637879265,0.36375218614225857,0.5328871039564921,FALSE,NA
FTLD3 turquoise,PRNP,TRUE,FALSE,FALSE,FALSE,TRUE,-0.06567502498258904,0.370512265252395,0.5396417941686646,FALSE,NA
FTLD3 turquoise,PPOX,FALSE,TRUE,FALSE,TRUE,TRUE,0.05652221188655471,0.38254592199180415,0.5514510119290945,FALSE,NA
FTLD3 turquoise,ACO1,FALSE,TRUE,TRUE,TRUE,TRUE,0.05553880163961988,0.38581924994566286,0.554679766509559,FALSE,NA
FTLD3 turquoise,NDUFS4,FALSE,TRUE,TRUE,TRUE,TRUE,-0.07449716732627554,0.39116193592209625,0.5597463923419291,FALSE,NA
FTLD3 turquoise,ATP6V0A2,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04191586246853873,0.399113739606482,0.5667084786448188,FALSE,NA
FTLD3 turquoise,CYB5B,FALSE,TRUE,FALSE,TRUE,TRUE,-0.051805725957764,0.42356233563618523,0.5887902376327141,FALSE,NA
FTLD3 turquoise,SLC39A14,FALSE,TRUE,TRUE,TRUE,TRUE,-0.1103024306310214,0.4438769861366605,0.6071107331716991,FALSE,NA
FTLD3 turquoise,PGRMC2,FALSE,TRUE,FALSE,TRUE,TRUE,0.04781863312079615,0.4633858055471607,0.6241395299811854,FALSE,NA
FTLD3 turquoise,NUBPL,FALSE,TRUE,TRUE,TRUE,TRUE,-0.04300716478861988,0.4762781923313284,0.635331007818943,FALSE,NA
FTLD3 turquoise,ALKBH2,FALSE,TRUE,TRUE,TRUE,TRUE,0.05672526031863834,0.4768295873788876,0.6356418376824972,FALSE,NA
