gene_symbol,occurrences,recurrence_label,retained_modules,broad_iron,core_iron
GLRX3,3,3/9,AD_HIPPO_yellow; FTLD3_turquoise; MSA_violet,TRUE,TRUE
NDUFS8,3,3/9,FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
NEO1,3,3/9,FTLD2_darkmagenta; FTLD3_black; MSA_violet,TRUE,TRUE
NUBP1,3,3/9,FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,TRUE
NUBPL,3,3/9,FTLD3_black; FTLD3_turquoise; MSA_violet,TRUE,TRUE
SLC25A37,3,3/9,AD_ERC_darkred; AD_HIPPO_yellow; FTLD3_black,TRUE,TRUE
SLC40A1,3,3/9,AD_ERC_darkred; FTLD2_darkmagenta; FTLD3_turquoise,TRUE,TRUE
SLC46A1,3,3/9,AD_HIPPO_yellow; FTLD2_darkmagenta; FTLD3_black,TRUE,TRUE
TET2,3,3/9,AD_HIPPO_yellow; FTLD2_darkmagenta; MSA_violet,TRUE,TRUE
ACO2,2,2/9,AD_HIPPO_yellow; FTLD3_turquoise,TRUE,TRUE
ARHGAP1,2,2/9,AD_HIPPO_yellow; FTLD2_darkmagenta,TRUE,TRUE
CIAPIN1,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,TRUE
CLTC,2,2/9,FTLD3_turquoise; MSA_violet,TRUE,TRUE
CPOX,2,2/9,FTLD1_red; FTLD3_black,TRUE,FALSE
CYP46A1,2,2/9,AD_ERC_darkred; MSA_violet,TRUE,FALSE
DGCR8,2,2/9,FTLD2_darkmagenta; FTLD3_turquoise,TRUE,FALSE
EGLN1,2,2/9,AD_ERC_darkred; FTLD3_turquoise,TRUE,TRUE
FECH,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,FALSE
GLRX5,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,TRUE
HIF1A,2,2/9,FTLD2_darkmagenta; FTLD3_black,TRUE,TRUE
HMOX2,2,2/9,FTLD2_darkmagenta; FTLD3_turquoise,TRUE,FALSE
IREB2,2,2/9,AD_HIPPO_yellow; FTLD3_black,TRUE,TRUE
ISCU,2,2/9,FTLD1_red; FTLD3_turquoise,TRUE,TRUE
KDM3A,2,2/9,FTLD3_black; FTLD3_turquoise,TRUE,TRUE
LYRM4,2,2/9,FTLD3_black; PSP_pink,TRUE,TRUE
MCOLN1,2,2/9,AD_HIPPO_yellow; FTLD3_turquoise,TRUE,TRUE
MECR,2,2/9,FTLD3_black; MSA_violet,TRUE,TRUE
NDUFAB1,2,2/9,FTLD1_red; FTLD3_turquoise,TRUE,TRUE
NDUFS2,2,2/9,AD_ERC_darkred; PSP_pink,TRUE,TRUE
NDUFS3,2,2/9,FTLD3_turquoise; PSP_pink,TRUE,TRUE
