network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR,module_id,disease_group,disease_or_comparison,dataset_or_network,source_study,positive_enrichment,FDR_significant
AD_ERC,lightgreen,Core iron,4,1015,14429,88,0.6278478576692818,0.5274555546304216,1,AD_ERC_lightgreen,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,lightyellow,Core iron,14,1977,14429,88,1.1929332068899356,0.5335835306369846,1,AD_ERC_lightyellow,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,pink,Core iron,13,1923,14429,88,1.1280789160658262,0.6382472776321929,1,AD_ERC_pink,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,midnightblue,Core iron,4,962,14429,88,0.6652222629446083,0.6648842259989097,1,AD_ERC_midnightblue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,cyan,Core iron,12,1822,14429,88,1.093162645060455,0.7473584216452575,1,AD_ERC_cyan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,blue,Core iron,14,2140,14429,88,1.0870102540323505,0.7633412506558549,1,AD_ERC_blue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,greenyellow,Core iron,4,863,14429,88,0.7473843036105662,0.82010034888282,1,AD_ERC_greenyellow,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,tan,Core iron,5,1004,14429,88,0.8045403330247215,0.8333405743628924,1,AD_ERC_tan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,grey60,Core iron,10,1675,14429,88,0.9760536608397739,0.9999999999999996,1,AD_ERC_grey60,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,black,Core iron,10,1623,14429,88,1.0116521534845229,0.9999999999999998,1,AD_ERC_black,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,darkgrey,Core iron,9,1539,14429,88,0.9539095996069132,1,1,AD_ERC_darkgrey,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,purple,Core iron,5,931,14429,88,0.8727170426932063,1.0000000000000002,1,AD_ERC_purple,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,yellow,Broad iron,28,2433,13606,120,1.402237594644284,0.12017415481880424,0.6298166073121092,AD_HIPPO_yellow,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,green,Broad iron,13,2113,13606,120,0.6587552323334116,0.16536364624983585,0.6298166073121092,AD_HIPPO_green,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,salmon,Broad iron,20,1712,13606,120,1.3940473761249013,0.1681574613637789,0.6298166073121092,AD_HIPPO_salmon,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,midnightblue,Broad iron,31,2825,13606,120,1.3328894026260987,0.174949057586697,0.6298166073121092,AD_HIPPO_midnightblue,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,magenta,Broad iron,14,1258,13606,120,1.2997040925086014,0.3416973416718764,0.6584896519058788,AD_HIPPO_magenta,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,grey60,Broad iron,9,1413,13606,120,0.6977524190361027,0.36710388284259177,0.6584896519058788,AD_HIPPO_grey60,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,lightgreen,Broad iron,14,1573,13606,120,1.0104323115690073,0.8867696118026708,1,AD_HIPPO_lightgreen,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,brown,Broad iron,12,1386,13606,120,0.9794607924899865,0.9999999999999996,1,AD_HIPPO_brown,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,midnightblue,Copper,2,2825,13606,31,0.2626843642879122,0.046973981352048035,0.45001103019158495,AD_HIPPO_midnightblue,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
AD_HIPPO,brown,Copper,5,1386,13606,31,1.6979571808629972,0.2389933345301639,0.8515845030288227,AD_HIPPO_brown,Alzheimer's disease,AD,HIPPO,Fodder et al. (2026),FALSE,FALSE
