network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR
FTLD2,saddlebrown,Copper,2,779,15193,33,1.194237613518921,0.6859002737084205,1
FTLD2,lightcyan1,Copper,1,911,15193,33,0.48935552647193986,0.7205072550268233,1
FTLD2,darkred,Copper,1,972,15193,33,0.45666599322476803,0.7213815552244838,1
FTLD2,tan,Copper,3,1123,15193,33,1.253549489578811,0.7329287419211484,1
FTLD2,red,Copper,3,1241,15193,33,1.124538360175008,0.7488461081060875,1
FTLD2,brown,Copper,2,1433,15193,33,0.6189898895596451,0.7653698166309039,1
FTLD2,salmon,Copper,3,1918,15193,33,0.691659926230265,0.7922471031562347,1
FTLD2,paleturquoise,Copper,4,2359,15193,33,0.7499953028174179,0.8097324677533408,1
FTLD2,darkorange2,Copper,3,1488,15193,33,0.92087495425915,0.9999999999999996,1
FTLD2,bisque4,Copper,2,1275,15193,33,0.7037835316573222,0.9999999999999997,1
FTLD2,plum2,Copper,2,1026,15193,33,0.8906282963761988,0.9999999999999998,1
FTLD2,blue,Copper,5,2594,15193,33,0.8670692167470057,0.9999999999999999,1
FTLD2,ivory,Copper,1,692,15193,33,0.6543601654516047,0.9999999999999999,1
FTLD2,lightgreen,Copper,3,1363,15193,33,1.0147065138781624,0.9999999999999999,1
FTLD2,skyblue,Copper,2,924,15193,33,0.9962916121719075,0.9999999999999999,1
FTLD2,lightyellow,Copper,2,910,15193,33,1.0126481011066792,1,1
FTLD2,skyblue3,Copper,0,342,15193,33,0,1,1
FTLD2,darkgreen,Copper,1,856,15193,33,0.5228474459427465,1.0000000000000002,1
FTLD2,lightcyan,Copper,1,766,15193,33,0.5880386454582154,1.0000000000000002,1
FTLD2,darkolivegreen,Copper,1,659,15193,33,0.6887448207244966,1.0000000000000004,1
FTLD2,yellow,Copper,1,807,15193,33,0.5565352025965833,1.0000000000000004,1
FTLD2,darkmagenta,Core iron,17,1063,15193,96,2.8903453421467113,3.2655625088132774e-4,0.016001256293185058
FTLD2,white,Core iron,12,785,15193,96,2.646744636085753,0.003846891042461195,0.09424883054029928
FTLD2,skyblue,Core iron,11,924,15193,96,2.01036988409608,0.048376566021851614,0.738521229073487
FTLD2,sienna3,Core iron,12,1142,15193,96,1.7656522973874378,0.07691312400363892,0.738521229073487
FTLD2,salmon,Core iron,7,1918,15193,96,0.5427189246162222,0.1242867366998613,0.738521229073487
FTLD2,turquoise,Core iron,5,1542,15193,96,0.4847639033676431,0.12608151306696258,0.738521229073487
FTLD2,lightyellow,Core iron,2,910,15193,96,0.33249722980727076,0.12874218447569863,0.738521229073487
FTLD2,lightcyan1,Core iron,2,911,15193,96,0.3321080485914022,0.128783302784103,0.738521229073487
FTLD2,orangered4,Core iron,10,968,15193,96,1.7160651072330215,0.13564675636043638,0.738521229073487
FTLD2,paleturquoise,Core iron,20,2359,15193,96,1.435344713308585,0.1568022746777953,0.7683311459211971
FTLD2,steelblue,Core iron,7,653,15193,96,1.7593476954603988,0.19659426015308107,0.8757380679546338
FTLD2,darkgreen,Core iron,8,856,15193,96,1.5274804401089705,0.2602803909336402,0.9769861230902666
FTLD2,darkslateblue,Core iron,11,1298,15193,96,1.3885952142857194,0.2740336285315573,0.9769861230902666
FTLD2,royalblue,Core iron,8,900,15193,96,1.447659644315135,0.27913889231150474,0.9769861230902666
FTLD2,plum1,Core iron,2,740,15193,96,0.4139875465422807,0.33413768781397785,1
FTLD2,green,Core iron,8,947,15193,96,1.3706608141261933,0.391998037265713,1
FTLD2,darkolivegreen,Core iron,2,659,15193,96,0.4676485485642389,0.4451693166980101,1
FTLD2,ivory,Core iron,6,692,15193,96,1.4004335701897714,0.4534897258238212,1
FTLD2,lightcyan,Core iron,6,766,15193,96,1.2576088265008007,0.48636260183282054,1
FTLD2,black,Core iron,8,1066,15193,96,1.2062895807640135,0.5478559426887128,1
FTLD2,midnightblue,Core iron,8,1070,15193,96,1.201404119125157,0.5491633905704806,1
FTLD2,red,Core iron,9,1241,15193,96,1.1641997343936075,0.5778338177880605,1
FTLD2,violet,Core iron,5,695,15193,96,1.1472247851518609,0.627773890645904,1
FTLD2,saddlebrown,Core iron,6,779,15193,96,1.2353395403809722,0.6378451909658357,1
FTLD2,orange,Core iron,7,989,15193,96,1.130507580512544,0.6780028787227663,1
FTLD2,greenyellow,Core iron,7,1004,15193,96,1.112307956101777,0.6820617722002277,1
FTLD2,plum2,Core iron,5,1026,15193,96,0.757498411233362,0.6849716334440906,1
FTLD2,lightgreen,Core iron,7,1363,15193,96,0.7970035134713486,0.7198056310045444,1
FTLD2,skyblue3,Core iron,1,342,15193,96,0.45551897588139506,0.727396490534436,1
FTLD2,darkorange,Core iron,5,761,15193,96,1.0422968195153814,0.8145819211109452,1
FTLD2,darkturquoise,Core iron,6,890,15193,96,1.071830618794971,0.8260663992743433,1
