geneSymbol,moduleColor
RPH3AL,bisque4
RPL21,bisque4
RPL26,bisque4
RPL34,bisque4
RPL35,bisque4
RPL5,bisque4
RPN2,bisque4
RPP21,bisque4
RPS14,bisque4
RPS27A,bisque4
RPUSD2,bisque4
RPUSD4,bisque4
RRM1,bisque4
RSBN1,bisque4
RXFP2,bisque4
S100PBP,bisque4
SAAL1,bisque4
SACM1L,bisque4
SALL4,bisque4
SAMD4A,bisque4
SBDS,bisque4
SC4MOL,bisque4
SC5DL,bisque4
SCAF1,bisque4
SCAMP1,bisque4
SCAND1,bisque4
SCAND2,bisque4
SCHIP1,bisque4
SCN3B,bisque4
SDCBP,bisque4
SDCCAG10,bisque4
SDK1,bisque4
SEC1,bisque4
SEC61A1,bisque4
SEH1L,bisque4
SEMA3G,bisque4
SEP-10,bisque4
SERPINB12,bisque4
SESN2,bisque4
SETD1B,bisque4
SF3A3,bisque4
SFMBT2,bisque4
SFRS3,bisque4
SFRS5,bisque4
SFT2D2,bisque4
SFXN4,bisque4
SGK1,bisque4
SGTA,bisque4
SGTB,bisque4
SH2D3C,bisque4
SH3RF3,bisque4
SHANK2,bisque4
SHC4,bisque4
SHF,bisque4
SHISA2,bisque4
SHISA4,bisque4
SHISA6,bisque4
SIAH3,bisque4
SIN3A,bisque4
SIX1,bisque4
SLAIN1,bisque4
SLC12A2,bisque4
SLC16A12,bisque4
SLC19A2,bisque4
SLC1A2,bisque4
SLC1A3,bisque4
SLC1A4,bisque4
SLC20A2,bisque4
SLC25A13,bisque4
SLC25A24,bisque4
SLC25A36,bisque4
SLC26A4,bisque4
SLC29A2,bisque4
SLC30A1,bisque4
SLC30A4,bisque4
SLC30A9,bisque4
SLC35F2,bisque4
SLC39A11,bisque4
SLC39A7,bisque4
SLIT1,bisque4
SLMO2,bisque4
SMAD9,bisque4
SMARCA4,bisque4
SMC3,bisque4
SMEK1,bisque4
SNAP23,bisque4
SNAP25,bisque4
SND1,bisque4
SNHG8,bisque4
SNORA6,bisque4
SNORD114-25,bisque4
SNRPG,bisque4
SNTG1,bisque4
SNX10,bisque4
SNX16,bisque4
SOHLH1,bisque4
SON,bisque4
SORCS2,bisque4
SOX2OT,bisque4
SPAG7,bisque4
SPATA2L,bisque4
SPEF2,bisque4
SPG20,bisque4
SPHK2,bisque4
SPRED2,bisque4
SPRYD3,bisque4
SRD5A3,bisque4
SRI,bisque4
SRP54,bisque4
SSH1,bisque4
SSSCA1,bisque4
SSU72,bisque4
ST6GAL1,bisque4
ST8SIA4,bisque4
STAC,bisque4
STAM,bisque4
STARD10,bisque4
STARD4,bisque4
STEAP2,bisque4
STK11IP,bisque4
STK31,bisque4
STRADA,bisque4
STX6,bisque4
STXBP1,bisque4
STXBP3,bisque4
STXBP5L,bisque4
SYN3,bisque4
SYNCRIP,bisque4
SYNGR1,bisque4
SYPL2,bisque4
TADA1,bisque4
TAF3,bisque4
TARBP2,bisque4
TARS,bisque4
TARS2,bisque4
TARSL2,bisque4
TAS2R3,bisque4
TATDN1,bisque4
TBC1D14,bisque4
TBC1D19,bisque4
TBC1D22A,bisque4
TC2N,bisque4
TCEB1,bisque4
TCF12,bisque4
TCHP,bisque4
TEAD1,bisque4
TFR2,bisque4
TGFB3,bisque4
TGFBR3,bisque4
TGIF1,bisque4
THBS1,bisque4
THRAP3,bisque4
THRB,bisque4
THUMPD1,bisque4
